Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-07-09/21:31:52;zero;gemma3n_e2b_it;83.24237180000091;88.31;
2025-07-11/11:41:09;zero;gemma2;40.34237860000008;90.91;
2025-07-11/11:42:10;few;gemma2;38.42803889999993;90.91;
2025-07-11/11:43:13;def;gemma2;41.24000389999992;94.81;
2025-07-11/11:44:19;def-few;gemma2;44.93952230000002;96.1;
2025-07-11/11:45:19;zero;gemma3_1b;36.32285449999995;93.51;
2025-07-11/11:46:12;few;gemma3_1b;33.73579599999994;92.21;
2025-07-11/11:47:03;def;gemma3_1b;31.580049700000018;79.22;
2025-07-11/11:50:16;def-few;gemma3_1b;37.75303480000002;88.31;
2025-07-11/12:25:13;zero;gemma3n_e2b_it;94.2141574000002;88.31;
2025-07-11/12:27:56;few;gemma3n_e2b_it;83.66873650000025;83.12;
2025-07-11/12:32:13;def;gemma3n_e2b_it;195.1839732999997;63.64;
2025-07-11/12:34:29;def-few;gemma3n_e2b_it;85.04480769999964;74.03;
2025-07-11/13:27:00;zero;gemma3n_e2b_it;82.81711029999951;85.71;
2025-07-11/13:29:09;few;gemma3n_e2b_it;81.33700679999947;83.12;
2025-07-11/13:33:14;def;gemma3n_e2b_it;197.3727503;63.64;
2025-07-11/13:35:20;def-few;gemma3n_e2b_it;81.10951550000027;75.32;
2025-07-11/17:29:59;zero;gemma3n_e2b_it;439.8040457999996;92.21;
2025-07-11/17:37:34;few;gemma3n_e2b_it;405.2417467000014;87.01;
2025-07-11/17:41:46;zero;gemma2;41.51571349999722;90.91;
2025-07-11/17:42:52;few;gemma2;45.22789080000075;90.91;
2025-07-11/17:44:03;def;gemma2;48.65568160000112;94.81;
2025-07-11/17:45:17;def-few;gemma2;52.232542300000205;96.1;
2025-07-11/17:46:21;zero;gemma3_1b;40.65400170000066;92.21;
2025-07-11/17:47:19;few;gemma3_1b;38.7084208999986;92.21;
2025-07-11/17:48:15;def;gemma3_1b;36.16585290000148;81.82;
2025-07-11/17:49:16;def-few;gemma3_1b;41.365989400001126;90.91;
2025-07-11/17:51:54;zero;gemma3n_e2b_it;117.5973651000022;89.61;
2025-07-11/17:54:18;few;gemma3n_e2b_it;107.65846099999908;85.71;
2025-07-11/17:58:18;def;gemma3n_e2b_it;212.3169772000001;84.42;
2025-07-11/18:03:27;def-few;gemma3n_e2b_it;281.28540350000185;87.01;
2025-07-14/18:52:20;zero;gemma3n_e2b_it;148.46954430000005;89.61;
2025-07-14/19:20:15;zero;gemma3_1b;40.85571560000062;94.81;
2025-07-14/20:14:25;zero;gemma3_1b;42.505844699999216;94.81;
2025-07-14/22:41:39;zero;gemma3_1b;41.90712340000027;94.81;
2025-07-14/23:10:29;zero;gemma3_1b_trained;14.93315849999999;100.0;
2025-07-14/23:12:31;zero;gemma3_1b_trained;12.04964910000126;100.0;
2025-07-14/23:13:51;zero;gemma3_1b;8.368978499998775;93.33;
2025-07-14/23:18:01;zero;gemma2;10.220106900000246;100.0;
2025-07-14/23:23:50;zero;gemma2_trained;9.581052400000772;100.0;
2025-07-14/23:27:02;zero;gemma3n_e2b_it;119.55395979999956;100.0;
2025-07-14/23:35:56;zero;gemma3n_e2b_it_trained;276.0182554999992;100.0;
2025-07-14/23:37:38;zero;gemma2;8.896768700000393;100.0;
2025-07-14/23:38:11;few;gemma2;9.535225699997682;100.0;
2025-07-14/23:38:43;def;gemma2;10.017492999999376;100.0;
2025-07-14/23:39:17;def-few;gemma2;10.504584599999362;100.0;
